iso_o,TIME_PERIOD,export,import,net_imp,gdp_pct,co2,manufacturing,renewable,energy,trade_openness,fdi,urban,internet,population,country,continent,category,development,eci_sitc,eci_rank_sitc,importing,exporting
EGY,1995,26.433,30.965,4.532,2074.84,1.52,16.34,9.4,557.75,50.25,9.4,42.81,0.03,65.95,Egypt,Africa,Emerging and Developing Economies,0.0,-0.347,78,27.0,45.0
ESP,1995,105.742,164.9,59.158,20217.9,6.46,16.29,8.3,2537.02,44.83,8.3,75.86,0.38,79.54,Spain,Europe,Advanced Economies,1.0,0.927,21,9.0,63.0
EST,1995,11.303,5.78,-5.523000000000001,7170.95,13.92,16.98,17.9,3917.02,139.09,17.9,70.3,2.78,33.89,Estonia,Europe,Advanced Economies,1.0,0.407,41,48.0,24.0
FIN,1995,44.835,46.016,1.1809999999999974,29890.52,11.5,22.25,27.3,5662.01,64.14,27.3,80.96,13.9,16.77,Finland,Europe,Advanced Economies,1.0,1.958,7,39.0,33.0
FRA,1995,208.705,318.819,110.114,29379.62,6.42,14.7,10.7,3975.89,45.43,10.7,74.91,1.64,110.48,France,Europe,Advanced Economies,1.0,1.765,9,5.0,67.0
GBR,1995,235.14,301.276,66.13600000000002,33011.29,9.45,15.34,1.1,3729.55,51.0,1.1,78.35,1.9,239.82,United Kingdom,Europe,Advanced Economies,1.0,1.967,6,8.0,64.0
GRC,1995,23.977,37.536,13.559000000000001,15857.42,7.98,11.36,8.3,2147.15,36.13,8.3,72.12,0.75,81.94,Greece,Europe,Advanced Economies,1.0,0.094,58,17.0,55.0
HKG,1995,43.867000000000004,113.19800000000001,69.331,25620.08,6.27,17.578,0.1,1781.19,256.9,0.1,100.0,3.22,5862.95,Hong Kong SAR,Asia,Advanced Economies,1.0,0.86,24,7.0,65.0
HRV,1995,6.313,9.659,3.346000000000001,7304.46,3.58,18.36,30.3,1636.96,62.8,30.3,52.28,0.51,82.63,Croatia,Europe,Advanced Economies,1.0,0.652,32,30.0,42.0
HUN,1995,30.585,28.708000000000002,-1.876999999999999,7704.64,6.04,18.13,5.4,2503.26,78.18,5.4,65.21,0.68,114.95,Hungary,Europe,Emerging and Developing Economies,0.0,0.821,27,45.0,27.0
IDN,1995,94.151,83.358,-10.792999999999992,1905.54,1.2,24.13,50.7,574.76,53.96,50.7,36.08,0.03,110.34,Indonesia,Asia,Emerging and Developing Economies,0.0,-0.12,68,53.0,19.0
IND,1995,134.283,67.222,-67.06099999999999,620.7,0.83,17.87,49.5,361.64,22.87,49.5,26.61,0.03,322.99,India,Asia,Emerging and Developing Economies,0.0,0.21,49,66.0,6.0
IRL,1995,32.726,23.696,-9.029999999999998,28676.51,9.64,20.69,1.9,2952.15,136.1,1.9,57.95,1.11,52.39,Ireland,Europe,Advanced Economies,1.0,1.788,8,51.0,21.0
ISR,1995,16.767,37.291,20.523999999999997,26050.73,8.69,14.92,5.4,2796.31,59.39,5.4,90.87,0.93,256.24,Israel,Asia,Advanced Economies,1.0,1.615,11,14.0,58.0
ITA,1995,190.848,332.954,142.106,29408.32,7.66,19.19,4.5,2799.59,45.58,4.5,66.92,0.52,193.28,Italy,Europe,Advanced Economies,1.0,1.601,13,4.0,68.0
JOR,1995,6.16,7.827999999999999,1.6679999999999993,3303.29,2.91,12.09,2.2,905.19,124.58,2.2,78.21,0.02,53.85,Jordan,Asia,Emerging and Developing Economies,0.0,0.769,28,36.0,36.0
JPN,1995,172.427,681.411,508.9839999999999,30171.16,9.87,23.47,3.7,3915.68,16.39,3.7,78.02,1.59,344.14,Japan,Asia,Advanced Economies,1.0,2.86,1,1.0,71.0
KAZ,1995,80.701,44.992999999999995,-35.708,3498.51,10.78,14.61,1.6,3122.78,82.52,1.6,55.92,0.01,6.2,Kazakhstan,Asia,Emerging and Developing Economies,0.0,-0.166,71,60.0,12.0
KHM,1995,2.888,1.928,-0.96,520.93,0.15,9.15,82.5,282.35,77.77,82.5,17.31,6.65,56.76,Cambodia,Asia,Emerging and Developing Economies,0.0,-1.243,131,43.0,29.0
KOR,1995,156.541,229.86599999999999,73.32499999999999,13411.11,8.98,25.8,0.4,3234.3,52.46,0.4,78.24,0.82,467.48,Korea,Asia,Advanced Economies,1.0,0.9,22,6.0,66.0
LAO,1995,1.7469999999999999,1.46,-0.2869999999999999,749.23,0.08,5.98,85.6,2719.4195945945944,60.55,85.6,17.38,6.65,21.36,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-1.097,125,42.0,30.0
LTU,1995,6.796,9.208,2.412,4924.1,4.17,17.01,10.3,2401.17,84.54,10.3,67.28,6.65,57.9,Lithuania,Europe,Advanced Economies,1.0,0.167,55,34.0,38.0
LVA,1995,4.134,7.579,3.4449999999999994,4661.67,3.72,18.19,32.4,1849.74,76.25,32.4,68.75,6.65,39.94,Latvia,Europe,Advanced Economies,1.0,0.189,52,29.0,43.0
MAR,1995,9.278,15.99,6.712,1705.45,1.11,18.88,17.7,353.73,51.72,17.7,51.69,0.0,59.15,Morocco,Africa,Emerging and Developing Economies,0.0,-0.519,92,24.0,48.0
MEX,1995,91.47399999999999,83.08999999999999,-8.384,7970.64,3.59,21.17,13.3,1461.03,43.67,13.3,73.37,0.1,46.74,Mexico,America,Emerging and Developing Economies,0.0,0.896,23,50.0,22.0
MMR,1995,6.23,4.525,-1.705,211.27,0.17,17.578,85.2,277.22,75.56054794520549,85.2,26.12,6.65,65.19,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.226,128,44.0,28.0
MYS,1995,105.506,69.722,-35.784000000000006,5771.35,4.47,26.38,6.1,1669.43,192.11,6.1,55.69,0.15,61.88,Malaysia,Asia,Emerging and Developing Economies,0.0,0.715,30,61.0,11.0
NGA,1995,82.091,10.231,-71.86,1395.07,0.8,19.99,88.0,256.92,75.56054794520549,88.0,32.2,6.65,121.68,Nigeria,Africa,Emerging and Developing Economies,0.0,-1.797,138,67.0,5.0
NLD,1995,155.73499999999999,166.684,10.949000000000012,33916.5,11.49,14.62,1.2,4732.29,107.92,1.2,72.81,6.47,457.91,The Netherlands,Europe,Advanced Economies,1.0,1.452,17,21.0,51.0
NOR,1995,49.293,50.709,1.416000000000004,58380.57,9.32,10.8,60.0,5391.37,67.3,60.0,73.79,6.42,11.93,Norway,Europe,Advanced Economies,1.0,0.835,25,38.0,34.0
NZL,1995,32.742,17.852,-14.889999999999997,28020.25,7.82,17.7,28.7,4091.53,56.91,28.7,85.55,4.88,13.95,New Zealand,Pacific,Advanced Economies,1.0,0.193,51,55.0,17.0
PAK,1995,15.673,20.704,5.031000000000001,1028.97,0.68,14.62,53.1,397.68,36.13,53.1,31.84,0.0,174.58,Pakistan,Asia,Emerging and Developing Economies,0.0,-0.583,97,25.0,47.0
PER,1995,4.8149999999999995,12.925,8.110000000000001,3158.98,1.06,15.33,33.3,450.6,30.93,33.3,70.95,0.03,19.02,Peru,America,Emerging and Developing Economies,0.0,-0.435,84,23.0,49.0
PHL,1995,37.538,42.099000000000004,4.561000000000007,1693.81,0.93,17.578,37.8,459.48,57.33,37.8,46.56,0.03,236.6,Philippines,Asia,Emerging and Developing Economies,0.0,0.305,44,26.0,46.0
POL,1995,102.982,44.731,-58.251,5671.9,9.24,19.3,6.3,2578.21,43.56,6.3,61.49,0.65,126.01,Poland,Europe,Emerging and Developing Economies,0.0,0.521,36,65.0,7.0
PRT,1995,22.415,40.644,18.229,15811.72,5.28,15.94,23.7,2013.97,59.91,23.7,51.11,1.49,109.58,Portugal,Europe,Advanced Economies,1.0,0.409,39,15.0,57.0
ROU,1995,42.861000000000004,16.589,-26.272000000000006,4572.26,5.88,23.87,8.6,2054.45,56.29,8.6,53.77,0.08,98.85,Romania,Europe,Emerging and Developing Economies,0.0,0.553,35,58.0,14.0
RUS,1995,647.326,102.322,-545.004,4862.65,11.9,17.578,3.9,4291.53,55.18,3.9,73.37,0.15,9.06,Russia,Asia,Emerging and Developing Economies,0.0,-0.113,67,71.0,1.0
SAU,1995,29.425,41.743,12.318000000000001,23876.25,16.34,9.29,0.0,6316.71,65.04,0.0,78.67,0.01,6.18,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,0.108,57,19.0,53.0
SEN,1995,1.936,2.892,0.956,960.85,0.31,17.578,53.2,210.78,52.73,53.2,39.61,0.0,45.96,Senegal,Africa,Emerging and Developing Economies,0.0,-0.944,118,40.0,32.0
SGP,1995,67.919,77.293,9.37400000000001,30379.9,11.73,23.99,0.4,5346.99,345.46,0.4,100.0,2.87,5260.46,Singapore,Asia,Advanced Economies,1.0,1.581,14,22.0,50.0
SVK,1995,34.208,22.262999999999998,-11.945,7755.62,8.53,18.42,4.2,3315.21,107.24,4.2,56.54,0.52,111.48,Slovak Republic,Europe,Advanced Economies,1.0,1.113,20,54.0,18.0
SVN,1995,8.754,12.373000000000001,3.6190000000000015,13278.74,7.53,21.38,11.5,3049.39,93.05,11.5,50.62,2.9,98.8,Slovenia,Europe,Advanced Economies,1.0,1.419,18,28.0,44.0
SWE,1995,50.958,74.136,23.177999999999997,35063.9,7.1,19.55,33.9,5701.87,68.68,33.9,83.82,5.1,21.67,Sweden,Europe,Advanced Economies,1.0,2.307,4,13.0,59.0
THA,1995,89.082,101.186,12.104000000000013,3614.93,2.77,26.21,22.6,1052.28,89.76,22.6,30.28,0.07,115.68,Thailand,Asia,Emerging and Developing Economies,0.0,0.621,33,20.0,52.0
TUN,1995,9.299,10.852,1.5530000000000008,2322.6,1.89,18.96,14.4,633.65,93.71,14.4,61.47,0.01,58.97,Tunisia,Africa,Emerging and Developing Economies,0.0,-0.23,73,37.0,35.0
TUR,1995,36.062,73.304,37.242000000000004,5541.75,2.92,22.57,21.9,997.97,44.24,21.9,62.12,0.08,79.29,Türkiye,Europe,Emerging and Developing Economies,0.0,0.085,59,11.0,61.0
UKR,1995,163.348,39.373,-123.97500000000002,1493.38,8.95,30.95,1.0,3168.7,97.23,1.0,66.95,0.04,89.18,Ukraine,Europe,Emerging and Developing Economies,0.0,0.031,61,69.0,3.0
USA,1995,802.998,1186.704,383.7059999999999,41710.82,19.8,17.578,4.7,7760.89,22.45,4.7,77.26,9.24,29.07,United States,America,Advanced Economies,1.0,1.75,10,2.0,70.0
VNM,1995,21.657,14.59,-7.067,927.63,0.48,17.578,64.9,303.78,74.72,64.9,22.17,6.65,221.36,Vietnam,Asia,Emerging and Developing Economies,0.0,-0.729,107,49.0,23.0
ZAF,1995,99.34100000000001,41.672,-57.66900000000001,4337.3,7.3,21.25,18.1,2357.97,39.48,18.1,54.49,0.68,36.72,South Africa,Africa,Emerging and Developing Economies,0.0,0.337,43,64.0,8.0
ARG,1996,45.263000000000005,37.105,-8.158000000000008,10352.14,3.56,17.54,8.6,1534.09,21.51,8.6,88.37,0.14,12.98,Argentina,America,Emerging and Developing Economies,0.0,-0.098,66,52.0,20.0
AUS,1996,147.761,89.219,-58.542,40337.11,17.16,12.73,8.9,5429.94,38.23,8.9,84.77,3.28,2.37,Australia,Pacific,Advanced Economies,1.0,0.043,60,64.0,8.0
AUT,1996,40.752,76.396,35.644,34301.66,8.54,18.21,24.1,3580.79,70.47,24.1,61.32,6.91,96.45,Austria,Europe,Advanced Economies,1.0,1.955,6,11.0,61.0
BEL,1996,114.161,127.423,13.262,31862.67,12.54,18.17,1.2,5527.63,119.21,1.2,96.85,2.97,281.79246575342466,Belgium,Europe,Advanced Economies,1.0,1.519,14,17.0,55.0
BGD,1996,4.517,14.714,10.197,552.08,0.18,14.0,62.1,127.58,26.08,62.1,22.06,6.8096,959.22,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.839,111,20.0,52.0
BGR,1996,48.851,9.079,-39.772,4253.23,7.37,17.114461538461544,3.5,2745.5,85.82,3.5,68.01,0.72,75.59,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.333,46,61.0,11.0
BLR,1996,30.467,13.761,-16.706,1944.69,6.04,29.56,3.5,2506.8,96.77,3.5,68.31,0.03,50.08,Belarus,Europe,Emerging and Developing Economies,0.0,0.351,44,57.0,15.0
BRA,1996,124.38499999999999,97.075,-27.309999999999988,6640.73,1.83,13.07,44.5,1035.83,15.64,44.5,78.3,0.45,19.65,Brazil,America,Emerging and Developing Economies,0.0,0.717,31,59.0,13.0
CAN,1996,331.979,208.46699999999998,-123.512,32801.3,16.54,17.114461538461544,22.1,8070.95,70.26,22.1,77.95,6.76,3.3,Canada,America,Advanced Economies,1.0,0.837,28,69.0,3.0
CHE,1996,28.428,87.029,58.601,67284.11,6.39,18.74,16.7,3459.89,78.75,16.7,73.6,4.55,178.91,Switzerland,Europe,Advanced Economies,1.0,2.478,2,9.0,63.0
CHL,1996,22.116,28.102,5.986000000000001,7605.29,3.25,15.23,32.2,1378.91,53.92,32.2,84.86,0.68,19.82,Chile,America,Emerging and Developing Economies,0.0,-0.324,76,26.0,46.0
CHN,1996,620.692,193.65300000000002,-427.039,1681.63,2.74,17.114461538461544,30.5,884.89,33.63,30.5,31.92,0.01,129.69,China,Asia,Emerging and Developing Economies,0.0,0.586,35,71.0,1.0
CIV,1996,9.087,4.525,-4.561999999999999,1706.98,0.3,9.8,74.0,374.94,52.8,74.0,41.59,0.01,48.56,Côte d'Ivoire,Africa,Emerging and Developing Economies,0.0,-0.78,110,47.0,25.0
CMR,1996,4.434,2.992,-1.4420000000000002,1077.39,0.39,16.01,84.9,423.05,45.12,84.9,43.16,6.8096,28.38,Cameroon,Africa,Emerging and Developing Economies,0.0,-1.193,129,43.0,29.0
COL,1996,30.742,29.838,-0.9039999999999999,4198.69,1.69,14.41,33.6,789.17,36.04,33.6,72.22,0.33,32.86,Colombia,America,Emerging and Developing Economies,0.0,0.05,59,41.0,31.0
CRI,1996,5.141,7.529,2.388,6871.61,1.31,19.14,36.6,654.29,84.06,36.6,55.47,0.84,70.88,Costa Rica,America,Emerging and Developing Economies,0.0,-0.119,68,32.0,40.0
CYP,1996,4.897,7.398,2.5009999999999994,19385.29,7.07,9.41,3.3,2153.27,140.85,3.3,68.16,0.67,95.27,Cyprus,Europe,Advanced Economies,1.0,0.449,41,30.0,42.0
CZE,1996,53.292,39.106,-14.186,11944.72,13.32,22.21,5.2,4173.39,80.6,5.2,74.51,1.94,133.5,Czech Republic,Europe,Advanced Economies,1.0,1.268,19,56.0,16.0
DEU,1996,330.211,576.861,246.64999999999998,32229.48,11.47,19.73,2.2,4247.28,43.9,2.2,74.13,3.05,234.65,Germany,Europe,Advanced Economies,1.0,2.37,3,3.0,69.0
DNK,1996,49.611000000000004,46.675,-2.936000000000007,44331.62,14.06,14.19,7.3,4172.13,68.53,7.3,85.01,5.71,131.58,Denmark,Europe,Advanced Economies,1.0,1.51,16,45.0,27.0
EGY,1996,25.821,31.055,5.233999999999998,2133.65,1.6,16.54,9.0,578.99,46.95,9.0,42.68,0.06,67.33,Egypt,Africa,Emerging and Developing Economies,0.0,-0.407,78,27.0,45.0
ESP,1996,107.789,163.953,56.164,20658.84,6.2,16.37,10.1,2489.29,46.3,10.1,75.94,1.33,79.87,Spain,Europe,Advanced Economies,1.0,1.0,22,10.0,62.0
EST,1996,10.352,5.852,-4.5,7637.26,14.82,16.32,20.1,4153.08,132.98,20.1,70.11,3.53,33.39,Estonia,Europe,Advanced Economies,1.0,0.408,42,46.0,26.0
FIN,1996,47.75,48.029,0.27900000000000347,30883.83,12.67,21.42,26.9,6070.35,65.79,26.9,81.22,16.8,16.82,Finland,Europe,Advanced Economies,1.0,1.8,8,38.0,34.0
FRA,1996,218.362,319.742,101.38000000000002,29683.78,6.64,14.28,10.5,4186.8,46.11,10.5,75.08,2.58,110.87,France,Europe,Advanced Economies,1.0,1.582,13,5.0,67.0
GBR,1996,240.608,324.181,83.57299999999998,33777.53,9.75,15.14,0.9,3880.31,52.24,0.9,78.41,4.12,240.43,United Kingdom,Europe,Advanced Economies,1.0,2.028,5,7.0,65.0
GRC,1996,23.941,37.87,13.928999999999998,16005.95,7.94,10.8,8.2,2206.11,36.82,8.2,72.24,1.4,82.3,Greece,Europe,Advanced Economies,1.0,-0.06,65,16.0,56.0
HKG,1996,48.141,114.574,66.43299999999999,25551.43,5.61,17.114461538461544,0.1,1697.26,244.85,0.1,100.0,4.75,6129.05,Hong Kong SAR,Asia,Advanced Economies,1.0,0.99,23,8.0,64.0
HRV,1996,6.661,9.719,3.058,7857.72,3.79,16.46,32.6,1798.12,67.05,32.6,52.51,0.86,81.41,Croatia,Europe,Advanced Economies,1.0,0.517,38,29.0,43.0
HUN,1996,31.887,25.404,-6.4830000000000005,7725.7,6.17,18.0,5.1,2573.19,83.02,5.1,65.08,0.97,114.75,Hungary,Europe,Emerging and Developing Economies,0.0,0.793,29,50.0,22.0
IDN,1996,95.295,88.592,-6.703000000000003,2020.99,1.24,25.62,49.3,587.22,52.26,49.3,37.24,0.06,112.17,Indonesia,Asia,Emerging and Developing Economies,0.0,-0.166,72,51.0,21.0
IND,1996,131.178,69.087,-62.090999999999994,654.36,0.85,17.6,49.1,367.7,21.93,49.1,26.82,0.05,329.5,India,Asia,Emerging and Developing Economies,0.0,0.233,50,65.0,7.0
IRL,1996,33.444,25.001,-8.443000000000001,30550.04,9.93,20.44,2.0,3122.61,138.87,2.0,58.17,2.2,52.8,Ireland,Europe,Advanced Economies,1.0,1.903,7,53.0,19.0
ISR,1996,18.1,40.843,22.743000000000002,26859.88,9.01,15.12,5.4,2801.23,58.13,5.4,90.94,2.17,263.03,Israel,Asia,Advanced Economies,1.0,1.661,12,14.0,58.0
ITA,1996,176.662,313.127,136.465,29795.66,7.57,18.84,4.8,2796.38,42.8,4.8,66.98,1.02,193.33,Italy,Europe,Advanced Economies,1.0,1.519,15,4.0,68.0
JOR,1996,6.139,7.625,1.4859999999999998,3262.11,2.88,10.93,2.2,898.41,131.06,2.2,78.22,0.04,55.67,Jordan,Asia,Emerging and Developing Economies,0.0,0.902,26,35.0,37.0
JPN,1996,176.54,663.3,486.76,31046.17,9.95,23.36,3.6,3990.47,18.25,3.6,78.14,4.37,345.01,Japan,Asia,Advanced Economies,1.0,2.931,1,1.0,71.0
KAZ,1996,69.09700000000001,31.261000000000003,-37.836000000000006,3583.37,9.63,13.25,1.6,2762.82,71.27,1.6,55.94,0.03,6.08,Kazakhstan,Asia,Emerging and Developing Economies,0.0,0.212,52,60.0,12.0
KHM,1996,2.294,1.79,-0.504,511.67,0.15,10.1,82.5,269.72,69.16,82.5,17.68,6.8096,61.19,Cambodia,Asia,Emerging and Developing Economies,0.0,-1.067,121,40.0,32.0
KOR,1996,170.52700000000002,259.615,89.088,14332.14,9.48,24.71,0.6,3460.92,52.65,0.6,78.66,1.62,471.95,Korea,Asia,Advanced Economies,1.0,1.1,20,6.0,66.0
LAO,1996,1.637,1.53,-0.10699999999999998,782.68,0.09,6.59,84.9,2786.524324324324,63.76,84.9,18.23,6.8096,21.86,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-0.674,101,39.0,33.0
LTU,1996,7.394,9.254,1.8599999999999994,5211.1,4.33,16.39,11.5,2610.09,92.81,11.5,67.22,0.28,57.46,Lithuania,Europe,Advanced Economies,1.0,0.129,56,33.0,39.0
LVA,1996,4.708,7.9319999999999995,3.2239999999999993,4822.9,3.76,17.6,32.0,1840.13,92.56,32.0,68.65,0.81,39.49,Latvia,Europe,Advanced Economies,1.0,0.208,53,28.0,44.0
MAR,1996,8.985,15.033,6.048,1886.67,1.08,18.29,19.1,366.09,47.1,19.1,52.02,0.01,60.07,Morocco,Africa,Emerging and Developing Economies,0.0,-0.508,87,25.0,47.0
MEX,1996,105.716,99.807,-5.908999999999992,8320.65,3.7,22.21,13.1,1467.31,47.77,13.1,73.67,0.2,47.56,Mexico,America,Emerging and Developing Economies,0.0,0.923,25,49.0,23.0
MMR,1996,4.871,3.951,-0.9200000000000004,222.01,0.18,17.114461538461544,84.6,274.21,76.02123287671232,84.6,26.3,6.8096,66.03,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.344,135,42.0,30.0
MYS,1996,118.468,76.5,-41.968,6190.46,4.96,27.84,4.9,1804.84,181.77,4.9,56.97,0.85,63.46,Malaysia,Asia,Emerging and Developing Economies,0.0,0.976,24,62.0,10.0
NGA,1996,77.489,11.559,-65.93,1416.1,0.91,19.1,87.1,268.07,76.02123287671232,87.1,32.72,0.01,124.9,Nigeria,Africa,Emerging and Developing Economies,0.0,-1.501,137,66.0,6.0
NLD,1996,157.59799999999998,166.937,9.339000000000027,34915.17,12.1,13.98,1.3,4949.78,108.66,1.3,73.64,9.65,460.03,The Netherlands,Europe,Advanced Economies,1.0,1.41,17,21.0,51.0
NOR,1996,54.471,52.603,-1.867999999999995,61005.88,9.34,10.06,57.9,5201.95,70.2,57.9,74.06,18.3,12.0,Norway,Europe,Advanced Economies,1.0,0.79,30,44.0,28.0
NZL,1996,32.544000000000004,18.511,-14.033000000000005,28576.44,7.96,16.66,27.6,4173.4,55.12,27.6,85.7,8.04,14.17,New Zealand,Pacific,Advanced Economies,1.0,0.16,54,55.0,17.0
PAK,1996,16.238,17.904,1.6660000000000004,1047.89,0.69,14.61,52.2,404.0,38.33,52.2,32.09,0.0,179.74,Pakistan,Asia,Emerging and Developing Economies,0.0,-0.61,95,34.0,38.0
PER,1996,5.092,13.324,8.232,3186.9,1.15,15.31,31.7,455.44,31.65,31.7,71.38,0.25,19.38,Peru,America,Emerging and Developing Economies,0.0,-0.49,84,23.0,49.0
PHL,1996,39.105,50.364000000000004,11.259000000000007,1752.24,0.95,17.114461538461544,35.8,463.4,63.86,35.8,46.48,0.06,242.11,Philippines,Asia,Emerging and Developing Economies,0.0,0.544,36,18.0,54.0
POL,1996,99.14999999999999,48.783,-50.36699999999999,6012.96,9.64,18.25,5.9,2680.11,45.38,5.9,61.54,1.3,126.1,Poland,Europe,Emerging and Developing Economies,0.0,0.535,37,63.0,9.0
PRT,1996,21.312,41.043,19.730999999999998,16304.38,5.09,16.58,25.4,1986.79,60.21,25.4,51.77,2.98,109.99,Portugal,Europe,Advanced Economies,1.0,0.45,40,15.0,57.0
ROU,1996,42.61,16.508,-26.102,4764.64,6.04,25.56,11.9,2115.5,60.78,11.9,53.62,0.22,98.55,Romania,Europe,Emerging and Developing Economies,0.0,0.478,39,58.0,14.0
RUS,1996,568.019,163.858,-404.161,4686.86,11.64,17.114461538461544,3.7,4254.59,47.92,3.7,73.37,0.27,9.05,Russia,Asia,Emerging and Developing Economies,0.0,0.3,47,70.0,2.0
SAU,1996,35.383,43.922,8.538999999999994,23699.14,16.67,9.49,0.0,6494.46,66.65,0.0,78.91,0.03,6.43,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,-0.114,67,22.0,50.0
SEN,1996,1.885,2.231,0.34599999999999986,956.59,0.33,17.114461538461544,52.5,210.66,46.27,52.5,39.75,0.01,47.09,Senegal,Africa,Emerging and Developing Economies,0.0,-0.649,99,37.0,35.0
SGP,1996,70.749,77.741,6.992000000000004,31349.32,11.58,23.17,0.5,5359.51,334.91,0.5,100.0,8.35,5478.66,Singapore,Asia,Advanced Economies,1.0,1.799,9,24.0,48.0
SVK,1996,32.531,26.712,-5.818999999999999,8212.83,8.56,17.43,3.9,3364.4,110.82,3.9,56.48,0.78,111.71,Slovak Republic,Europe,Advanced Economies,1.0,1.076,21,48.0,24.0
SVN,1996,8.892,11.377,2.485000000000001,13674.18,7.91,21.61,11.1,3180.2,93.67,11.1,50.65,5.07,98.74,Slovenia,Europe,Advanced Economies,1.0,1.408,18,31.0,41.0
