iso_o,country_x,TIME_PERIOD,LTE,internet,gdp_pct,schooling,log_gdp_pct,D_log_gdp_pct,D_internet,country_y,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
CHE,Switzerland,2016,1.0,89.099998,84611.102,16.134291,11.34582,0.009554863,1.5999985,Switzerland,1,Europe,46.950001,7.4333334,German,,Advanced Economies,1.0
CHL,Chile,2016,1.0,83.599998,13505.1,16.49543,9.5108223,0.0052843094,7.0,Chile,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0
CHN,China,2016,1.0,53.200001,8679.3799,14.217895,9.0687056,0.059828758,2.9000015,China,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0
CIV,Cote d'Ivoire,2016,0.0,41.200001,1889.28,9.07269,7.543951,0.040264606,2.7999992,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0
CMR,Cameroon,2016,1.0,20.6,1435.62,12.13076,7.269352,0.014467239,2.3000011,Cameroon,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0
COL,Colombia,2016,1.0,58.099998,6316.0698,14.76609,8.7508526,0.010754585,2.1999969,Colombia,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0
CRI,Costa Rica,2016,1.0,65.900002,12084.44,14.81766,9.3996744,0.03107357,6.1000023,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0
CYP,Cyprus,2016,1.0,75.900002,24916.631,15.03358,10.123291,0.05907917,4.2000046,Cyprus,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0
CZE,Czechia,2016,0.0,76.5,18359.1,16.786091,9.8178806,0.023560524,0.80000305,Czech Republic,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0
DEU,Germany,2016,1.0,84.199997,42528.059,16.87517,10.657919,0.014615059,-3.4000015,Germany,0,Europe,52.533001,13.417,German,,Advanced Economies,1.0
DNK,Denmark,2016,1.0,97.0,54300.199,19.03953,10.902283,0.022462845,0.69999695,Denmark,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0
EGY,"Egypt, Arab Rep.",2016,0.0,41.200001,3381.22,12.03536,8.1259918,0.022201538,3.4000015,Egypt,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0
ESP,Spain,2016,1.0,80.599998,26719.24,17.43899,10.193139,0.027962685,1.9000015,Spain,0,Europe,40.416668,-3.7166667,Spanish,,Advanced Economies,1.0
EST,Estonia,2016,1.0,87.199997,18264.99,15.95292,9.8127413,0.030170441,-1.2000046,Estonia,0,Europe,59.416668,24.75,Estonian,RUS,Advanced Economies,1.0
FIN,Finland,2016,1.0,87.699997,43529.68,19.310801,10.681198,0.022520065,1.2999954,Finland,0,Europe,60.133335,25.0,Swedish,RUS,Advanced Economies,1.0
FRA,France,2016,1.0,79.300003,36920.531,15.62283,10.516523,0.0059251785,1.3000031,France,0,Europe,48.866665,2.3333333,French,,Advanced Economies,1.0
GBR,United Kingdom,2016,1.0,94.800003,45485.648,17.397539,10.725152,0.011092186,2.8000031,United Kingdom,0,Europe,51.5,-0.16666667,English,,Advanced Economies,1.0
GRC,Greece,2016,1.0,69.099998,18049.93,18.71595,9.8008966,0.0038404465,2.2999954,Greece,0,Europe,38.0,23.733334,Greek,TUR,Advanced Economies,1.0
HKG,"Hong Kong SAR, China",2016,0.0,87.5,43087.551,16.34737,10.670989,0.015327454,2.5999985,Hong Kong SAR,0,Asia,22.266666,114.15,English,GBR,Advanced Economies,1.0
HRV,Croatia,2016,1.0,72.699997,12849.35,15.67868,9.4610481,0.04488945,2.8999939,Croatia,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT,Advanced Economies,1.0
HUN,Hungary,2016,1.0,79.300003,13145.66,15.15059,9.4838467,0.027979851,6.5,Hungary,1,Europe,47.5,19.049999,Hungarian,,Emerging and Developing Economies,0.0
IDN,Indonesia,2016,1.0,25.4,3416.8101,13.60602,8.1364622,0.038360596,3.2999992,Indonesia,0,Asia,-6.1333332,106.75,Indonesian,NLD,Emerging and Developing Economies,0.0
IND,India,2016,1.0,16.5,1694.47,12.67976,7.4351254,0.067416668,1.6000004,India,0,Asia,28.616667,77.216667,English,GBR,Emerging and Developing Economies,0.0
IRL,Ireland,2016,1.0,83.5,64267.57,19.000271,11.07081,-0.00068855286,0.0,Ireland,0,Europe,53.333332,-6.25,English,GBR,Advanced Economies,1.0
ISL,Iceland,2016,1.0,98.199997,55513.641,19.066919,10.924384,0.04724884,0.0,Iceland,0,Europe,64.150002,-21.966667,Icelandic,DNK,Advanced Economies,1.0
ISR,Israel,2016,1.0,79.699997,37093.789,14.90981,10.521205,0.024028778,2.2999954,Israel,0,Asia,32.083332,34.766666,Hebrew,GBR,Advanced Economies,1.0
ITA,Italy,2016,1.0,61.299999,31077.68,15.95277,10.344245,0.014186859,3.2000008,Italy,0,Europe,41.883335,12.5,Italian,,Advanced Economies,1.0
JOR,Jordan,2016,1.0,56.200001,3933.1499,12.92451,8.2771959,-0.027486801,2.0,Jordan,0,Asia,31.950001,35.933334,Arabic,GBR,Emerging and Developing Economies,0.0
JPN,Japan,2016,1.0,93.199997,35242.199,15.37909,10.469999,0.0080213547,2.0999985,Japan,0,Asia,35.666668,139.75,Japanese,,Advanced Economies,1.0
KAZ,Kazakhstan,2016,1.0,74.599998,10151.42,14.10587,9.2253685,-0.0043935776,3.7999954,Kazakhstan,1,Asia,51.169998,71.470001,Kazakh,RUS,Emerging and Developing Economies,0.0
KHM,Cambodia,2016,1.0,32.400002,1645.47,11.131587,7.4057813,0.061501503,25.970001,Cambodia,0,Asia,11.583333,104.91666,Khmer,FRA,Emerging and Developing Economies,0.0
KOR,"Korea, Rep.",2016,0.0,92.800003,29467.119,16.488171,10.29103,0.025074005,2.9000015,Korea,0,Asia,37.5,127.0,Korean,JPN,Advanced Economies,1.0
LAO,Lao PDR,2016,0.0,21.9,2234.76,11.0976,7.7118893,0.052241802,3.6999989,Lao P.D.R.,1,Asia,17.983334,102.63333,Lao,FRA,Emerging and Developing Economies,0.0
LTU,Lithuania,2016,1.0,74.400002,14823.11,16.223419,9.6039429,0.038042068,3.0,Lithuania,0,Europe,54.683334,25.316668,Lithuanian,RUS,Advanced Economies,1.0
LUX,Luxembourg,2016,1.0,98.099998,108351.45,14.16723,11.593136,0.027029991,1.6999969,Luxembourg,1,Europe,49.599998,6.1500001,French,NLD,Advanced Economies,1.0
LVA,Latvia,2016,1.0,79.800003,13787.34,16.261511,9.5315056,0.034335136,0.6000061,Latvia,0,Europe,56.950001,24.1,Latvian,RUS,Advanced Economies,1.0
MAR,Morocco,2016,1.0,58.299999,3124.4299,12.925526,8.0470076,-0.0069589615,1.2000008,Morocco,0,Africa,34.033333,-6.8499999,Arabic,FRA,Emerging and Developing Economies,0.0
MEX,Mexico,2016,1.0,59.5,10100.5,14.67599,9.2203398,0.0078773499,2.0999985,Mexico,0,America,19.416666,-99.166664,Spanish,ESP,Emerging and Developing Economies,0.0
MLT,Malta,2016,1.0,78.099998,25969.439,15.45613,10.164676,0.0170784,2.0999985,Malta,0,Europe,35.900002,14.533334,English,GBR,Advanced Economies,1.0
MMR,Myanmar,2016,1.0,16.0,1225.38,10.992099,7.1110063,0.04904604,5.1000004,Myanmar,0,Asia,16.783333,96.166664,Burmese,GBR,Emerging and Developing Economies,0.0
MYS,Malaysia,2016,1.0,78.800003,9901.4805,13.46303,9.2004395,0.025862694,7.7000046,Malaysia,0,Asia,3.1333334,101.7,Malay,GBR,Emerging and Developing Economies,0.0
NGA,Nigeria,2016,1.0,24.1,2481.8101,9.5189686,7.8167434,-0.041019917,1.6000004,Nigeria,0,Africa,6.4499998,3.4666667,English,GBR,Emerging and Developing Economies,0.0
NLD,Netherlands,2016,0.0,90.400002,46655.039,18.137621,10.750536,0.018631935,-1.2999954,The Netherlands,0,Europe,52.349998,4.9000001,Dutch,,Advanced Economies,1.0
NOR,Norway,2016,1.0,97.300003,75017.492,17.95096,11.225476,0.0027694702,0.5,Norway,0,Europe,59.916668,10.75,Norwegian,,Advanced Economies,1.0
NZL,New Zealand,2016,1.0,86.5,39235.371,17.984221,10.577334,0.014635086,1.3000031,New Zealand,0,Pacific,-44.283333,174.78334,English,GBR,Advanced Economies,1.0
PAK,Pakistan,2016,1.0,12.4,1452.1899,7.0822401,7.280828,0.050648689,1.3999996,Pakistan,0,Asia,33.666668,73.133331,Urdu,GBR,Emerging and Developing Economies,0.0
PER,Peru,2016,1.0,45.5,6392.25,14.78624,8.7628412,0.025435448,4.5999985,Peru,0,America,-12.1,-77.050003,Spanish,ESP,Emerging and Developing Economies,0.0
PHL,Philippines,2016,1.0,39.200001,3076.3401,12.58334,8.031496,0.055635929,2.2999992,Philippines,0,Asia,14.616667,120.96667,English,ESP,Emerging and Developing Economies,0.0
POL,Poland,2016,1.0,73.300003,13026.19,16.627251,9.4747171,0.030291557,5.3000031,Poland,0,Europe,52.25,21.0,Polish,DEU,Emerging and Developing Economies,0.0
PRT,Portugal,2016,1.0,70.400002,19662.82,16.26754,9.8864851,0.022997856,1.8000031,Portugal,0,Europe,38.733334,-9.1333332,Portuguese,,Advanced Economies,1.0
RUS,Russian Federation,2016,0.0,73.099998,9269.3203,14.86801,9.1344652,-0.00090503693,3.0,Russia,0,Asia,55.75,37.700001,Russian,,Emerging and Developing Economies,0.0
SAU,Saudi Arabia,2016,1.0,74.900002,22783.039,15.14005,10.033772,-0.020553589,5.3000031,Saudi Arabia,0,Asia,24.65,46.766666,Arabic,,Emerging and Developing Economies,0.0
SEN,Senegal,2016,0.0,25.700001,1257.41,9.1961851,7.1368093,0.031835556,4.0,Senegal,0,Africa,14.633333,-17.450001,French,FRA,Emerging and Developing Economies,0.0
SGP,Singapore,2016,1.0,84.5,56986.789,16.639071,10.950575,0.023816109,5.5,Singapore,0,Asia,1.2833333,103.85,English,GBR,Advanced Economies,1.0
SVK,Slovak Republic,2016,1.0,80.5,16740.74,14.67245,9.7256002,0.018000603,2.9000015,Slovak Republic,1,Europe,48.166668,17.166666,Slovak,HUN,Advanced Economies,1.0
SVN,Slovenia,2016,1.0,75.5,21309.711,17.4575,9.966918,0.0291605,2.4000015,Slovenia,0,Europe,46.066666,14.5,Slovenian,AUT,Advanced Economies,1.0
SWE,Sweden,2016,1.0,89.699997,51746.699,18.42342,10.854115,0.010661125,-0.90000153,Sweden,0,Europe,59.333332,18.083334,Swedish,,Advanced Economies,1.0
THA,Thailand,2016,1.0,47.5,5857.7798,16.017179,8.6755257,0.029262543,8.2000008,Thailand,0,Asia,13.733334,100.5,Thai,,Emerging and Developing Economies,0.0
TUN,Tunisia,2016,0.0,49.599998,4015.3,14.40567,8.2978678,8.7738037e-05,3.0999985,Tunisia,0,Africa,36.833332,10.216666,Arabic,FRA,Emerging and Developing Economies,0.0
TUR,Turkiye,2016,0.0,58.299999,11264.61,18.27483,9.329421,0.019235611,4.5999985,Türkiye,0,Europe,39.93,32.849998,Turkish,,Emerging and Developing Economies,0.0
UKR,Ukraine,2016,0.0,53.0,2156.0801,13.6359,7.6760468,0.028991222,4.0999985,Ukraine,0,Europe,50.416668,30.5,Ukrainian,RUS,Emerging and Developing Economies,0.0
USA,United States,2016,1.0,85.5,57430.852,16.672951,10.958337,0.010174751,10.900002,United States,0,America,38.867001,-77.0,English,GBR,Advanced Economies,1.0
VNM,Viet Nam,2016,0.0,53.0,2715.5801,14.099874,7.9067607,0.052158356,8.0,Vietnam,0,Asia,21.016666,105.86667,Vietnamese,FRA,Emerging and Developing Economies,0.0
ZAF,South Africa,2016,1.0,54.0,6095.2998,14.24452,8.7152729,-0.0027809143,2.0999985,South Africa,0,Africa,-25.73,28.219999,English,GBR,Emerging and Developing Economies,0.0
