Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,0.982,1.44,2.12,3.12,3.51,4.44,5.23,6.2,10.5,12.5,16.8,22.4,30,35.3,37,34.6,37.5,39.7,43.8,44.3,47.5,59.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0.194,1.08,1.2,2.65,3.97,15.5,21.3,25.1,27.9,34.7,37.7,42.8,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1,69.9,73.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,1.12,2.9,3.43,3.39,3.35,3.3,3.26,4.29,5.28,6.25,6.15,6,9,16,30,36.7,37.3,42.3,47.9,54.2,61.4,69.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,2.04,2.87,4.53,9.15,13.2,19.1,21,28.2,30.9,33.8,39.2,40.7,45.7,48.6,51,54.6,58.3,60.9,67.5,70.4,73.9,81.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,..,..,..,18.9,..,..,..,..,..,..,36,37,37.4,37.6,..,..,..,77.7,77.7,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,7.67,9,12.9,15.3,19.6,29.7,36.5,42.2,44.7,46,49,53,56,60.3,64.5,68.8,71.2,90,94.9,95,95,96.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,2.91,5.37,7.61,9.08,12,18.1,20,27.1,33.6,39.7,45,46.2,48,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,70.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0.0618,0.0771,0.158,0.201,0.373,0.4,0.47,0.633,0.75,0.92,1.13,2.4,3,3.73,5,6,6.55,7.14,7.79,8.5,9.27,10.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0.0392,0.0772,0.106,0.118,0.201,0.349,0.542,0.658,0.7,0.81,0.9,1,1.11,1.22,1.26,1.04,2,2.2,2.66,4,6.1,9.17
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,1.16,1.82,2.69,3.52,4.32,5.32,6.07,6.81,8.28,14,21,30,32,34.7,37.5,40.3,42.7,50.3,57.2,59.5,61.9,69.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,0.032,0.047,0.077,0.227,0.261,0.3,0.317,0.468,0.49,0.51,0.53,1.26,3.1,4.94,6,14,6.43,32.4,32.9,..,52.3,53.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,0.129,0.252,0.277,0.361,0.588,0.976,1.4,2.03,2.93,3.4,3.84,4.3,5,7.5,10,16.2,18.3,20.6,23.2,29.7,36.5,41.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,36.2,51.3,60.2,61.6,64.2,66,71.7,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.1,90,91.2,92.7,94.6,91.9,92.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,..,..,..,..,..,..,38,44.5,52,61,64.5,66,69.5,69.7,71.4,74.1,77,79,81.1,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,0.0409,0.0534,0.0785,0.129,0.152,0.223,0.268,0.311,0.376,1,1.8,2,2.2,2.4,2.5,2.7,2.9,3.1,4,5.1,7.51,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,0.0123,0.0357,0.0459,0.166,0.32,0.361,0.399,0.581,0.847,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,6.4,7,7.6,8.34
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,4.1,16.6,19.1,22.1,25.5,28.2,31.2,34.5,35.9,37.3,41.6,45,52.2,55.1,58,61.1,76.6,83.6,82.3,84.9,85,87.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,0.708,1.78,2.64,4.6,6.2,7.3,8.52,10.5,16,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.1,70.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,1.7,2.21,2.85,4.6,7.39,9.12,11,15.3,21.8,25.6,30,36.5,40.4,49,51.7,52.6,55.9,58.1,62.3,64.1,65,69.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,0.148,0.272,0.443,0.555,0.848,1.33,2,2.2,2.5,3,3.5,5.1,5.5,5.98,6.5,6.98,7.46,7.94,8.48,..,16.4,22.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,0.00101,0.0059,0.0115,0.0928,0.135,0.196,0.238,0.296,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3,3.8,10.1,8.62,11.7,16.5,21.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,0.0168,0.0264,0.0322,0.157,0.46,1.08,1.46,2.01,2.76,4.29,4.5,5,5.6,6.11,6.6,7.11,7.62,8.12,8.65,..,..,24.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,3.9,5.8,9.56,19.9,20.3,20.8,22.1,25.1,28.4,32.3,34.3,36.5,39.2,47.5,46,53,59.8,65.9,71.6,73.5,81.2,80.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,0.119,0.231,0.396,0.498,0.759,0.849,1.04,1.52,1.8,1.9,2,2.7,2.9,4.4,6.6,10,38.4,41.2,43.8,37.5,36.3,36
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,4.41,6.64,11.6,17.8,22.8,30.9,33.1,38,41.4,44.2,50.6,56.6,57.8,61.9,66.7,68.6,69.8,72.7,67.1,75.3,79.1,78.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,0.315,0.541,1.08,3.77,5.24,8.41,9.74,11.2,11.7,12.9,14.3,15.9,16,21.2,27.9,29.1,37.3,43,57.1,62.7,68,71.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.9,68.1,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,11.3,15.3,18.8,28.3,30.1,33.8,32.8,35.8,40.8,42.3,49.8,53,56.9,60.7,65.5,69.3,71.7,75.9,80.7,84.4,86.1,90.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czechia,CZE,6.83,9.78,14.7,23.9,34.3,35.5,35.3,47.9,51.9,63,64.4,68.8,70.5,73.4,74.1,74.2,75.7,76.5,78.7,80.7,80.9,81.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,30.6,39.2,43,64.3,76.3,80.9,82.7,86.7,85,85,86.8,88.7,89.8,92.3,94.6,96,96.3,97,97.1,97.3,98,96.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,0.106,0.195,0.344,0.487,0.626,0.781,0.954,1.27,1.62,2.26,4,6.5,7,9.4,12.7,17,22.9,30.8,55.7,57.1,58.5,59.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,2.93,8.81,13.2,18.4,23.6,30.3,38.5,39.4,40.3,41.2,42,47.5,48.6,49.8,51,57.5,65,67,69.6,..,73.4,75.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,1.1,3.7,4.43,6.82,7.9,8.87,11.5,14.8,17.7,20.8,27.7,31.4,38,42.3,45.9,49.6,54.2,63.9,67.6,74.8,79.7,81.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,0.823,1.46,2.67,4.26,4.46,4.83,5.99,7.2,10.8,18.8,24.6,29,31.4,35.1,40.3,45.6,48.9,54.1,55.8,57.5,59.2,70.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,0.29,0.641,0.839,2.72,4.04,11.9,12.8,13.7,16,18,20,21.6,25.6,26.4,29.4,33.9,37.8,41.2,45,46.9,57.3,71.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,0.845,1.18,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.1,12.1,15.9,18.9,20.3,23.1,24.8,26.8,29,33.8,43.8,50.5,54.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,0.0974,0.132,0.165,0.321,0.521,0.844,1.15,1.28,1.56,1.82,2.13,6,11.5,13.9,16.4,18.9,21.3,23.8,26.2,..,49.1,55
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0.0255,0.137,0.158,0.227,..,..,..,..,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.08,1.18,2.5,5.3,11.2,14.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,14.5,28.6,31.5,41.5,45.3,53.2,61.5,63.5,66.2,70.6,72.5,74.1,76.5,78.4,80,84.2,88.4,87.2,88.1,89.4,90.2,89.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,0.471,0.926,1.28,1.82,2.44,3.23,3.7,3.7,4.1,6.85,8.94,11,18.1,20.8,24.7,25,25.6,28.6,35.3,39.4,43.9,49
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,0.0125,0.0153,0.0372,0.0724,0.106,0.155,0.22,0.311,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.9,15.4,15.6,15.9,16,16.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,22.3,32.9,43.2,53.3,58.9,66.5,67.9,69.4,76,75.6,75.2,75.2,80.7,85.3,90,93.3,94.2,95.1,97.6,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,0.942,1.5,1.86,6.15,6.73,7.41,8.45,9.6,10.9,13,17,20,28,33.7,35.2,37.4,42.5,49.4,53.6,58.2,63.2,68.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,32.3,37.2,43.1,62.4,69.2,72.4,74.5,79.7,80.8,83.7,82.5,86.9,88.7,89.9,91.5,86.5,86.4,87.7,87.5,88.9,89.6,92.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,France,FRA,9.13,14.3,26.3,30.2,36.1,39.2,42.9,46.9,66.1,70.7,71.6,77.3,77.8,81.4,81.9,83.8,78,79.3,80.5,82,83.3,84.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,French Polynesia,PYF,3.45,6.36,6.25,8.2,14.1,17.9,21.5,25.1,28.6,33.9,44.6,49,49,52.9,56.8,60.7,64.6,68.4,72.7,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gabon,GAB,0.249,1.22,1.35,1.94,2.66,2.98,4.89,5.49,5.77,7.5,9.5,13,18,24,30.5,38.1,45.8,48.1,51.6,55.4,59.5,63.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Gambia, The",GMB,0.716,0.922,1.34,1.8,2.44,3.31,3.8,5.24,6.21,6.88,7.63,9.2,10.9,12.4,14,15.6,17.6,19.9,22.5,28.3,31.1,34.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Georgia,GEO,0.416,0.485,0.992,1.59,2.56,3.89,6.08,7.53,8.26,10,20.1,26.9,31.5,36.9,43.3,49.1,47.6,58.5,59.7,62.7,68.8,72.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Germany,DEU,20.8,30.2,31.7,48.8,55.9,64.7,68.7,72.2,75.2,78,79,82,81.3,82.4,84.2,86.2,87.6,84.2,84.4,87,88.1,89.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ghana,GHA,0.105,0.154,0.2,0.83,1.19,1.72,1.83,2.72,3.85,4.27,5.44,7.8,9,10.6,15,19,23,28,37.9,43,22.1,62.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gibraltar,GIB,5.94,19.1,21.2,23.7,28.3,32.9,39.1,45.3,51.6,58,65.1,65,65,65,..,..,..,94.4,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greece,GRC,6.88,9.14,10.9,14.7,17.8,21.4,24,32.3,35.9,38.2,42.4,44.4,51.7,55.1,59.9,63.2,66.8,69.1,69.9,72.2,75.7,78.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greenland,GRL,21.6,31.7,35.5,44.2,54.5,56.1,57.7,59.4,61.1,62.8,62.8,63,64,64.9,65.8,66.7,67.6,68.5,69.5,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Grenada,GRD,2.47,4.06,5.13,14.8,18.6,19.6,20.5,21.4,22.3,23.2,24.1,27,30,32,35,51.6,52.5,53.3,54.2,61.4,64.3,67.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guam,GUM,8.5,16.1,25.4,31.2,33.7,36.2,38.6,43.9,46.2,48.4,50.6,54,57.7,61.5,65.4,69.3,73.1,77,80.5,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guatemala,GTM,0.593,0.712,1.74,3.39,4.55,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8,34.5,37.9,41.5,44.4,47.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea,GIN,0.0608,0.0954,0.176,0.402,0.451,0.509,0.542,0.637,0.78,0.92,0.94,1,2,3.1,4.5,6.4,9.2,13.1,18.7,21.8,22.6,23.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea-Bissau,GNB,0.118,0.23,0.3,1.02,1.35,1.81,1.9,2.06,2.21,2.35,2.3,2.45,2.67,2.89,3.1,3.32,6.1,13.8,14.8,15.7,17.9,20.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guyana,GUY,0.4,0.6,1,1.5,2.4,3.7,5.7,8.9,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.7,42.7,48.6,55.3,63
Individuals using the Internet (% of population),IT.NET.USER.ZS,Haiti,HTI,0.0707,0.231,0.341,0.893,1.65,5.4,6.38,6.8,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,14.2,22.8,27.2,32.5,39.3,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Honduras,HND,0.574,1.2,1.42,2.6,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.1,15.9,18.1,17.8,23,27.1,29.5,31.7,36,39.4,45.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Hong Kong SAR, China",HKG,21.2,27.8,38.7,43.1,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.9,84.9,87.5,89.4,90.5,91.7,92.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Hungary,HUN,5.86,7,14.5,16.7,21.6,27.7,39,47.1,53.3,61,62,65,68,70.6,72.6,75.7,72.8,79.3,76.8,76.1,80.4,84.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,41.3,44.5,49.4,79.1,83.1,83.9,87,89.5,90.6,91,93,93.4,94.8,96.2,96.5,98.2,98.2,98.2,98.3,99,99.5,99.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,0.273,0.528,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.5,10.1,11.1,12.3,13.5,14.9,16.5,18.2,20.1,29.5,43.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,0.444,0.926,2.02,2.13,2.39,2.6,3.6,4.76,5.79,7.92,6.92,10.9,12.3,14.5,14.9,17.1,22.1,25.4,32.3,39.9,47.7,53.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,0.379,0.934,1.48,4.63,6.93,7.49,8.1,8.76,9.47,12,13.8,15.9,19,22.7,30,39.4,45.3,53.2,64,70.2,72.5,75.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iraq,IRQ,..,..,0.1,0.5,0.6,0.9,0.9,0.952,0.93,1,1.06,2.5,5,7.1,9.2,11.6,15.2,19.9,49.4,33.9,44.3,53.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ireland,IRL,10.9,17.9,23.1,25.9,34.3,37,41.6,54.8,61.2,65.3,67.4,69.9,74.9,76.9,78.2,83.5,83.5,83.5,84.1,87,87,92
Individuals using the Internet (% of population),IT.NET.USER.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Israel,ISR,13.4,20.9,17.4,17.8,19.6,22.8,25.2,27.9,48.1,59.4,63.1,67.5,68.9,70.8,70.3,75,77.4,79.7,81.6,83.7,86.8,90.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Italy,ITA,14.4,23.1,27.2,28,29,33.2,35,38,40.8,44.5,48.8,53.7,54.4,55.8,58.5,55.6,58.1,61.3,63.1,74.4,67.9,70.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jamaica,JAM,2.36,3.12,3.86,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.7,37.4,33.8,37.1,40.4,42.2,44.4,55.1,68.2,70.8,76.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Japan,JPN,21.4,30,38.5,46.6,48.4,62.4,66.9,68.7,74.3,75.4,78,78.2,79.1,79.5,88.2,89.1,91.1,93.2,91.7,88.7,92.7,90.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jordan,JOR,2.53,2.62,4.71,6.03,8.47,11.7,12.9,13.9,20,23,26,27.2,34.9,37,41.4,46.2,54.2,56.2,64.5,65.2,70.1,78.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kazakhstan,KAZ,0.464,0.669,1.01,1.67,2,2.65,2.96,3.27,4.02,11,18.2,31.6,50.6,61.9,63.3,66,70.8,74.6,76.4,78.9,81.9,85.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kenya,KEN,0.114,0.318,0.62,1.21,2.94,3.02,3.1,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.6,16.6,17.8,19.5,22.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kiribati,KIR,1.21,1.79,2.34,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.7,11.5,12.3,14.9,19.4,25.3,33,39.6,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Dem. People's Rep.",PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Rep.",KOR,23.6,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.8,84.1,84.8,87.6,89.9,92.8,95.1,96,96.2,96.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9,89.4,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kuwait,KWT,4.76,6.73,8.55,10.2,22.4,22.9,25.9,28.8,34.8,42,50.8,61.4,65.8,70.5,75.5,78.7,82,85.6,98,99.6,99.5,99.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kyrgyz Republic,KGZ,0.205,1.04,3,3,3.91,5.09,10.5,12.3,14,15.7,16,16.3,17.5,19.8,23,28.3,30.2,40.5,50.8,62.8,64.1,72
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lao PDR,LAO,0.0378,0.111,0.182,0.268,0.334,0.361,0.85,1.17,1.64,3.55,6,7,9,10.7,12.5,14.3,18.2,21.9,25.5,36.3,47,54
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latvia,LVA,4.39,6.32,7.22,21.9,27,38.6,46,53.6,59.2,63.4,66.8,68.4,69.8,73.1,75.2,75.8,79.2,79.8,80.1,83.6,86.1,88.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lebanon,LBN,5.38,7.95,6.78,7,8,9,10.1,15,18.7,22.5,30.1,43.7,52,61.2,70.5,73,74,76.1,78.2,80.9,81.5,82.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lesotho,LSO,0.0538,0.212,0.261,1.08,1.53,2.18,2.58,2.98,3.45,3.58,3.72,3.86,7,10,15,22,25,32.5,39,40.8,42.3,43.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liberia,LBR,0.0113,0.0177,0.0338,0.0327,0.0319,0.031,..,..,0.551,0.53,2,2.3,2.5,2.6,3.2,5.41,10,15.7,16.3,17.3,18.3,19.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Libya,LBY,0.134,0.187,0.367,2.24,2.81,3.53,3.92,4.3,4.72,9,10.8,14,14,15.2,16.5,17.8,..,..,..,..,..,87.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liechtenstein,LIE,..,36.5,45.1,59.5,58.8,64,63.4,64.2,65.1,70,75,80,85,89.4,93.8,95.2,96.6,98.1,99.5,..,93.1,94.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lithuania,LTU,2.92,6.43,7.18,17.7,25.9,31.2,36.2,43.9,49.9,55.2,59.8,62.1,63.6,67.2,68.5,72.1,71.4,74.4,77.6,79.7,81.6,83.1
